Team,Season,Games,ShtF,ShtA,GF,GA,GD,xGF,xGA,xGD,GD-xGD,Pts,xPts,PassF,PctF,xPctF,ScoreF,Per100F,VertF,PassA,PctA,xPctA,ScoreA,Per100A,VertA,ScoreDiff,VertDiff
ATL,2019,34,509,384,55,41,14,57.27,46.65,10.62,3.38,58,55,18220,80.97%,80.82%,27.06,0.15,5.74,14570,0.7748,0.7756,-10.93,-0.08,7.88,38,-2.14
CHI,2019,34,478,379,53,47,6,58.14,46.33,11.81,-5.81,42,53.69,16423,78.98%,78.21%,126,0.77,6.76,17348,0.79990000000000006,0.7976,40.49,0.23,6.54,85.51,0.22
CIN,2019,34,359,512,29,74,-45,36.09,64.26,-28.17,-16.83,24,29.71,15193,77.01%,77.81%,-121.67,-0.8,7.53,17585,0.7925,0.7904,36.51,0.21,6.39,-158.17,1.14
CLB,2019,34,395,442,37,47,-10,42.29,48.13,-5.84,-4.16,38,43.17,16674,78.76%,78.87%,-18.41,-0.11,6.9,17259,0.7963,0.7949,23.26,0.13,6.45,-41.67,0.45
COL,2019,34,483,527,57,56,1,55.78,65.6,-9.83,10.83,42,40.9,13360,75.34%,74.90%,58.73,0.44,8.81,18594,0.8171,0.8018,283.98,1.53,6.01,-225.25,2.8
DCU,2019,34,428,578,41,37,4,43.68,55.66,-11.98,15.98,50,39.77,16107,78.20%,78.32%,-19.5,-0.12,6.93,17685,0.7959,0.7844,203.71,1.15,6.14,-223.22,0.8
FCD,2019,34,470,433,51,46,5,50.14,47.47,2.68,2.32,48,48.51,18130,83.19%,82.08%,200.79,1.11,5.13,15706,0.8066,0.7967,156.55,1,6.27,44.24,-1.14
HOU,2019,34,454,485,45,59,-14,51.26,52.56,-1.3,-12.7,40,48.02,15407,79.77%,79.01%,116.93,0.76,6.79,17491,0.8249,0.8069,316.31,1.81,5.96,-199.37,0.82
LAFC,2019,34,621,345,84,34,50,80.85,37.94,42.91,7.09,72,72.64,19165,83.41%,81.84%,299.97,1.57,5.46,14402,0.7611,0.7746,-193.68,-1.34,7.87,493.65,-2.41
LAG,2019,34,470,568,58,56,2,61.16,60.57,0.59,1.41,51,47.21,16751,80.76%,78.01%,461.19,2.75,6.79,16720,0.8109,0.7954,259.26,1.55,6.61,201.92,0.18
MIN,2019,34,467,491,50,43,7,55.23,47.11,8.12,-1.12,53,52.38,15245,77.08%,77.00%,12.81,0.08,7.81,18978,0.812,0.8009,210.25,1.11,6.02,-197.43,1.79
MTL,2019,34,391,376,44,59,-15,42.7,47.31,-4.61,-10.39,41,44.92,16918,79.89%,80.07%,-29.5,-0.17,6.24,17653,0.8082,0.8057,44.65,0.25,5.94,-74.15,0.3
NER,2019,34,455,504,49,57,-8,51.7,63.42,-11.73,3.73,45,41.17,14680,75.00%,74.66%,49.77,0.34,9.05,17875,0.7875,0.782,97.74,0.55,7.17,-47.97,1.87
NYC,2019,34,516,393,63,39,24,57.2,46.14,11.06,12.94,64,53.73,18638,80.17%,79.78%,72.91,0.39,6.5,13884,0.7324,0.7461,-189.72,-1.37,8.77,262.63,-2.27
NYRB,2019,34,447,430,50,49,1,51.11,51.11,0,1,48,45.78,14676,67.36%,69.72%,-346.6,-2.36,10.08,16695,0.7291,0.7524,-389.6,-2.33,8.55,43,1.53
ORL,2019,34,386,467,44,50,-6,46.49,45.4,1.09,-7.09,37,47.44,16039,78.61%,78.45%,25.07,0.16,7.13,17534,0.8065,0.7929,238.62,1.36,6.3,-213.56,0.83
PHI,2019,34,475,394,57,49,8,57.04,47.35,9.69,-1.69,55,53.06,17835,80.45%,79.10%,240.73,1.35,6.17,15962,0.7861,0.789,-47.51,-0.3,6.94,288.23,-0.77
POR,2019,34,561,482,50,48,2,56.95,57.39,-0.44,2.44,49,46.23,16938,79.60%,78.31%,218.58,1.29,6.99,16986,0.8011,0.7882,219.61,1.29,7.11,-1.03,-0.12
RSL,2019,34,428,430,46,40,6,40.8,44.24,-3.44,9.44,53,45.43,16222,79.79%,79.30%,78.82,0.49,6.75,16464,0.7906,0.7883,37.93,0.23,6.64,40.89,0.11
SEA,2019,34,425,474,50,47,3,50.51,53.37,-2.86,5.86,56,45.87,17517,80.15%,79.40%,130.31,0.74,6.07,17189,0.8088,0.7961,218.43,1.27,6.01,-88.12,0.06
SJE,2019,34,595,445,50,53,-3,57.8,51.81,5.99,-8.99,44,51.09,18435,82.51%,81.22%,237.7,1.29,5.46,13344,0.7639,0.7607,43.2,0.32,8.21,194.5,-2.75
SKC,2019,34,499,463,46,67,-21,58.41,55.6,2.82,-23.82,38,48.33,17284,81.43%,80.62%,139.23,0.81,5.84,15657,0.7968,0.7925,68.18,0.44,6.9,71.06,-1.06
TOR,2019,34,439,424,57,50,7,53,52.68,0.32,6.68,50,46.82,19395,83.70%,81.30%,465.12,2.4,5.4,16291,0.806,0.7964,155.47,0.95,6.42,309.65,-1.02
VAN,2019,34,359,684,37,55,-18,36.35,63.86,-27.51,9.51,34,30.51,15781,79.51%,79.58%,-10.93,-0.07,7,19161,0.8273,0.7964,592.41,3.09,5.48,-603.34,1.52
