Team,ShtF,ShtA,GF,GA,GD,xGF,xGA,xGD,GD-xGD,Pts,xPts,PassF,PctF,xPctF,ScoreF,Per100F,VertF,PassA,PctA,xPctA,ScoreA,Per100A,VertA,ScoreDiff,VertDiff
ATL,14.97,11.29,1.62,1.21,0.41,1.68,1.37,0.31,0.1,1.71,1.62,535.8823529,80.97%,80.82%,0.8,0.15,5.74,428.53,77.48%,77.56%,-0.32,-0.08,7.88,1.12,-2.14
CHI,14.06,11.15,1.56,1.38,0.18,1.71,1.36,0.35,-0.17,1.24,1.58,483.0294118,78.98%,78.21%,3.71,0.77,6.76,510.24,79.99%,79.76%,1.19,0.23,6.54,2.52,0.22
CIN,10.56,15.06,0.85,2.18,-1.32,1.06,1.89,-0.83,-0.49,0.71,0.87,446.8529412,77.01%,77.81%,-3.58,-0.8,7.53,517.21,79.25%,79.04%,1.07,0.21,6.39,-4.65,1.14
CLB,11.62,13,1.09,1.38,-0.29,1.24,1.42,-0.17,-0.12,1.12,1.27,490.4117647,78.76%,78.87%,-0.54,-0.11,6.9,507.62,79.63%,79.49%,0.68,0.13,6.45,-1.23,0.45
COL,14.21,15.5,1.68,1.65,0.03,1.64,1.93,-0.29,0.32,1.24,1.2,392.9411765,75.34%,74.90%,1.73,0.44,8.81,546.88,81.71%,80.18%,8.35,1.53,6.01,-6.63,2.8
DCU,12.59,17,1.21,1.09,0.12,1.28,1.64,-0.35,0.47,1.47,1.17,473.7352941,78.20%,78.32%,-0.57,-0.12,6.93,520.15,79.59%,78.44%,5.99,1.15,6.14,-6.57,0.8
FCD,13.82,12.74,1.5,1.35,0.15,1.47,1.4,0.08,0.07,1.41,1.43,533.2352941,83.19%,82.08%,5.91,1.11,5.13,461.94,80.66%,79.67%,4.6,1,6.27,1.3,-1.14
HOU,13.35,14.26,1.32,1.74,-0.41,1.51,1.55,-0.04,-0.37,1.18,1.41,453.1470588,79.77%,79.01%,3.44,0.76,6.79,514.44,82.49%,80.69%,9.3,1.81,5.96,-5.86,0.82
LAFC,18.26,10.15,2.47,1,1.47,2.38,1.12,1.26,0.21,2.12,2.14,563.6764706,83.41%,81.84%,8.82,1.57,5.46,423.59,76.11%,77.46%,-5.7,-1.34,7.87,14.52,-2.41
LAG,13.82,16.71,1.71,1.65,0.06,1.8,1.78,0.02,0.04,1.5,1.39,492.6764706,80.76%,78.01%,13.56,2.75,6.79,491.76,81.09%,79.54%,7.63,1.55,6.61,5.94,0.18
MIN,13.74,14.44,1.47,1.26,0.21,1.62,1.39,0.24,-0.03,1.56,1.54,448.3823529,77.08%,77.00%,0.38,0.08,7.81,558.18,81.20%,80.09%,6.18,1.11,6.02,-5.81,1.79
MTL,11.5,11.06,1.29,1.74,-0.44,1.26,1.39,-0.14,-0.31,1.21,1.32,497.5882353,79.89%,80.07%,-0.87,-0.17,6.24,519.21,80.82%,80.57%,1.31,0.25,5.94,-2.18,0.3
NER,13.38,14.82,1.44,1.68,-0.24,1.52,1.87,-0.34,0.11,1.32,1.21,431.7647059,75.00%,74.66%,1.46,0.34,9.05,525.74,78.75%,78.20%,2.87,0.55,7.17,-1.41,1.87
NYC,15.18,11.56,1.85,1.15,0.71,1.68,1.36,0.33,0.38,1.88,1.58,548.1764706,80.17%,79.78%,2.14,0.39,6.5,408.35,73.24%,74.61%,-5.58,-1.37,8.77,7.72,-2.27
NYRB,13.15,12.65,1.47,1.44,0.03,1.5,1.5,0,0.03,1.41,1.35,431.6470588,67.36%,69.72%,-10.19,-2.36,10.08,491.03,72.91%,75.24%,-11.46,-2.33,8.55,1.26,1.53
ORL,11.35,13.74,1.29,1.47,-0.18,1.37,1.34,0.03,-0.21,1.09,1.4,471.7352941,78.61%,78.45%,0.74,0.16,7.13,515.71,80.65%,79.29%,7.02,1.36,6.3,-6.28,0.83
PHI,13.97,11.59,1.68,1.44,0.24,1.68,1.39,0.28,-0.05,1.62,1.56,524.5588235,80.45%,79.10%,7.08,1.35,6.17,469.47,78.61%,78.90%,-1.4,-0.3,6.94,8.48,-0.77
POR,16.5,14.18,1.47,1.41,0.06,1.68,1.69,-0.01,0.07,1.44,1.36,498.1764706,79.60%,78.31%,6.43,1.29,6.99,499.59,80.11%,78.82%,6.46,1.29,7.11,-0.03,-0.12
RSL,12.59,12.65,1.35,1.18,0.18,1.2,1.3,-0.1,0.28,1.56,1.34,477.1176471,79.79%,79.30%,2.32,0.49,6.75,484.24,79.06%,78.83%,1.12,0.23,6.64,1.2,0.11
SEA,12.5,13.94,1.47,1.38,0.09,1.49,1.57,-0.08,0.17,1.65,1.35,515.2058824,80.15%,79.40%,3.83,0.74,6.07,505.56,80.88%,79.61%,6.42,1.27,6.01,-2.59,0.06
SJE,17.5,13.09,1.47,1.56,-0.09,1.7,1.52,0.18,-0.26,1.29,1.5,542.2058824,82.51%,81.22%,6.99,1.29,5.46,392.47,76.39%,76.07%,1.27,0.32,8.21,5.72,-2.75
SKC,14.68,13.62,1.35,1.97,-0.62,1.72,1.64,0.08,-0.7,1.12,1.42,508.3529412,81.43%,80.62%,4.1,0.81,5.84,460.5,79.68%,79.25%,2.01,0.44,6.9,2.09,-1.06
TOR,12.91,12.47,1.68,1.47,0.21,1.56,1.55,0.01,0.2,1.47,1.38,570.4411765,83.70%,81.30%,13.68,2.4,5.4,479.15,80.60%,79.64%,4.57,0.95,6.42,9.11,-1.02
VAN,10.56,20.12,1.09,1.62,-0.53,1.07,1.88,-0.81,0.28,1,0.9,464.1470588,79.51%,79.58%,-0.32,-0.07,7,563.56,82.73%,79.64%,17.42,3.09,5.48,-17.75,1.52
